running histogram
number of data points: 746979
average: 134.230031
0.000000-5.000000: 0.064925
5.000000-10.000000: 0.034072
10.000000-15.000000: 0.031733
15.000000-20.000000: 0.029378
20.000000-25.000000: 0.027739
25.000000-30.000000: 0.025829
30.000000-35.000000: 0.024521
35.000000-40.000000: 0.023279
40.000000-45.000000: 0.022367
45.000000-50.000000: 0.021201
50.000000-55.000000: 0.020415
55.000000-60.000000: 0.019647
60.000000-65.000000: 0.019085
65.000000-70.000000: 0.018995
70.000000-75.000000: 0.017940
75.000000-80.000000: 0.016867
80.000000-85.000000: 0.016080
85.000000-90.000000: 0.015443
90.000000-95.000000: 0.014876
95.000000-100.000000: 0.014667
100.000000-105.000000: 0.014157
105.000000-110.000000: 0.013686
110.000000-115.000000: 0.012983
115.000000-120.000000: 0.012926
120.000000-125.000000: 0.012450
125.000000-130.000000: 0.012329
130.000000-135.000000: 0.011899
135.000000-140.000000: 0.011699
140.000000-145.000000: 0.011300
145.000000-150.000000: 0.011142
150.000000-155.000000: 0.010858
155.000000-160.000000: 0.010581
160.000000-165.000000: 0.010466
165.000000-170.000000: 0.010075
170.000000-175.000000: 0.010266
175.000000-180.000000: 0.010209
180.000000-185.000000: 0.009748
185.000000-190.000000: 0.009736
190.000000-195.000000: 0.009432
195.000000-200.000000: 0.009479
200.000000-205.000000: 0.009302
205.000000-210.000000: 0.009344
210.000000-215.000000: 0.009109
215.000000-220.000000: 0.009350
220.000000-225.000000: 0.009148
225.000000-230.000000: 0.009287
230.000000-235.000000: 0.009022
235.000000-240.000000: 0.008788
240.000000-245.000000: 0.008706
245.000000-250.000000: 0.008973
250.000000-255.000000: 0.009097
255.000000-260.000000: 0.009202
260.000000-265.000000: 0.009214
265.000000-270.000000: 0.009216
270.000000-275.000000: 0.009568
275.000000-280.000000: 0.009625
280.000000-285.000000: 0.009926
285.000000-290.000000: 0.009980
290.000000-295.000000: 0.010547
295.000000-300.000000: 0.010711
300.000000-305.000000: 0.010881
305.000000-310.000000: 0.011362
310.000000-315.000000: 0.011767
315.000000-320.000000: 0.012232
320.000000-325.000000: 0.012991
325.000000-330.000000: 0.013432
330.000000-335.000000: 0.014003
335.000000-340.000000: 0.013121
340.000000-345.000000: 0.004085
345.000000-350.000000: 0.000954
350.000000-355.000000: 0.000378
355.000000-360.000000: 0.000221
360.000000-365.000000: 0.000135
365.000000-370.000000: 0.000102
370.000000-375.000000: 0.000080
375.000000-380.000000: 0.000067
380.000000-385.000000: 0.000051
385.000000-390.000000: 0.000062
390.000000-395.000000: 0.000043
395.000000-400.000000: 0.000037
400.000000-405.000000: 0.000054
405.000000-410.000000: 0.000046
410.000000-415.000000: 0.000050
415.000000-420.000000: 0.000042
420.000000-425.000000: 0.000042
425.000000-430.000000: 0.000028
430.000000-435.000000: 0.000043
435.000000-440.000000: 0.000035
440.000000-445.000000: 0.000039
445.000000-450.000000: 0.000035
450.000000-455.000000: 0.000064
455.000000-460.000000: 0.000032
460.000000-465.000000: 0.000039
465.000000-470.000000: 0.000036
470.000000-475.000000: 0.000033
475.000000-480.000000: 0.000031
480.000000-485.000000: 0.000031
485.000000-490.000000: 0.000032
490.000000-495.000000: 0.000028
495.000000-500.000000: 0.000028
500.000000-505.000000: 0.000036
505.000000-510.000000: 0.000029
510.000000-515.000000: 0.000561
515.000000-520.000000: 0.000013
