running histogram
number of data points: 384988
average: 5.651063
0.000000-0.500000: 0.095611
0.500000-1.000000: 0.555876
1.000000-1.500000: 0.002075
1.500000-2.000000: 0.008912
2.000000-2.500000: 0.050656
2.500000-3.000000: 0.017457
3.000000-3.500000: 0.009514
3.500000-4.000000: 0.005763
4.000000-4.500000: 0.005316
4.500000-5.000000: 0.028641
5.000000-5.500000: 0.014843
5.500000-6.000000: 0.010371
6.000000-6.500000: 0.007419
6.500000-7.000000: 0.006132
7.000000-7.500000: 0.018808
7.500000-8.000000: 0.012954
8.000000-8.500000: 0.009414
8.500000-9.000000: 0.006975
9.000000-9.500000: 0.005793
9.500000-10.000000: 0.013451
10.000000-10.500000: 0.010127
10.500000-11.000000: 0.007807
11.000000-11.500000: 0.006226
11.500000-12.000000: 0.005371
12.000000-12.500000: 0.009505
12.500000-13.000000: 0.008101
13.000000-13.500000: 0.006256
13.500000-14.000000: 0.005141
14.000000-14.500000: 0.004389
14.500000-15.000000: 0.006836
15.000000-15.500000: 0.006370
15.500000-16.000000: 0.005197
16.000000-16.500000: 0.004334
16.500000-17.000000: 0.003565
17.000000-17.500000: 0.005244
17.500000-18.000000: 0.005252
18.000000-18.500000: 0.004076
18.500000-19.000000: 0.003507
19.000000-19.500000: 0.003052
19.500000-20.000000: 0.003662
