running histogram
number of data points: 257601
average: 20.152972
0.000000-0.500000: 0.045712
0.500000-1.000000: 0.018556
1.000000-1.500000: 0.009057
1.500000-2.000000: 0.005791
2.000000-2.500000: 0.014244
2.500000-3.000000: 0.103576
3.000000-3.500000: 0.042184
3.500000-4.000000: 0.025426
4.000000-4.500000: 0.017843
4.500000-5.000000: 0.015879
5.000000-5.500000: 0.059647
5.500000-6.000000: 0.039617
6.000000-6.500000: 0.028274
6.500000-7.000000: 0.021304
7.000000-7.500000: 0.018133
7.500000-8.000000: 0.041581
8.000000-8.500000: 0.032861
8.500000-9.000000: 0.025659
9.000000-9.500000: 0.020714
9.500000-10.000000: 0.018038
10.000000-10.500000: 0.030142
10.500000-11.000000: 0.026923
11.000000-11.500000: 0.021380
11.500000-12.000000: 0.018499
12.000000-12.500000: 0.015004
12.500000-13.000000: 0.022245
13.000000-13.500000: 0.021423
13.500000-14.000000: 0.017653
14.000000-14.500000: 0.015047
14.500000-15.000000: 0.012946
15.000000-15.500000: 0.016502
15.500000-16.000000: 0.016849
16.000000-16.500000: 0.014092
16.500000-17.000000: 0.012014
17.000000-17.500000: 0.010336
17.500000-18.000000: 0.011938
18.000000-18.500000: 0.013036
18.500000-19.000000: 0.010982
19.000000-19.500000: 0.009608
19.500000-20.000000: 0.008329
20.000000-20.500000: 0.008524
20.500000-21.000000: 0.009827
21.000000-21.500000: 0.008344
21.500000-22.000000: 0.007493
22.000000-22.500000: 0.006589
22.500000-23.000000: 0.006665
23.000000-23.500000: 0.007041
23.500000-24.000000: 0.006219
24.000000-24.500000: 0.005258
24.500000-25.000000: 0.004997
