running histogram
number of data points: 257601
average: 0.850251
0.000000-0.250000: 0.393755
0.250000-0.500000: 0.221816
0.500000-0.750000: 0.117497
0.750000-1.000000: 0.066419
1.000000-1.250000: 0.036062
1.250000-1.500000: 0.020436
1.500000-1.750000: 0.011930
1.750000-2.000000: 0.007970
2.000000-2.250000: 0.006867
2.250000-2.500000: 0.007251
2.500000-2.750000: 0.008180
2.750000-3.000000: 0.009703
3.000000-3.250000: 0.012692
3.250000-3.500000: 0.013741
3.500000-3.750000: 0.013150
3.750000-4.000000: 0.010768
4.000000-4.250000: 0.008293
4.250000-4.500000: 0.006284
4.500000-4.750000: 0.004574
4.750000-5.000000: 0.003338
5.000000-5.250000: 0.002670
5.250000-5.500000: 0.002021
5.500000-5.750000: 0.001819
5.750000-6.000000: 0.001481
6.000000-6.250000: 0.001551
6.250000-6.500000: 0.001488
6.500000-6.750000: 0.001411
6.750000-7.000000: 0.001240
7.000000-7.250000: 0.001053
7.250000-7.500000: 0.000929
7.500000-7.750000: 0.000785
7.750000-8.000000: 0.000556
8.000000-8.250000: 0.000431
8.250000-8.500000: 0.000412
8.500000-8.750000: 0.000299
8.750000-9.000000: 0.000284
9.000000-9.250000: 0.000233
9.250000-9.500000: 0.000241
9.500000-9.750000: 0.000190
9.750000-10.000000: 0.000183
