running histogram
number of data points: 727355
average: 6.064331
0.000000-0.500000: 0.083161
0.500000-1.000000: 0.076610
1.000000-1.500000: 0.069890
1.500000-2.000000: 0.063935
2.000000-2.500000: 0.058952
2.500000-3.000000: 0.053711
3.000000-3.500000: 0.049596
3.500000-4.000000: 0.045596
4.000000-4.500000: 0.042079
4.500000-5.000000: 0.038868
5.000000-5.500000: 0.035694
5.500000-6.000000: 0.032745
6.000000-6.500000: 0.029751
6.500000-7.000000: 0.027806
7.000000-7.500000: 0.025157
7.500000-8.000000: 0.023577
8.000000-8.500000: 0.021952
8.500000-9.000000: 0.020352
9.000000-9.500000: 0.018748
9.500000-10.000000: 0.017228
10.000000-10.500000: 0.015898
10.500000-11.000000: 0.014445
11.000000-11.500000: 0.013344
11.500000-12.000000: 0.012662
12.000000-12.500000: 0.011308
12.500000-13.000000: 0.010539
13.000000-13.500000: 0.009635
13.500000-14.000000: 0.009025
14.000000-14.500000: 0.008284
14.500000-15.000000: 0.007660
15.000000-15.500000: 0.007171
15.500000-16.000000: 0.006747
16.000000-16.500000: 0.006157
16.500000-17.000000: 0.005558
17.000000-17.500000: 0.005227
17.500000-18.000000: 0.004757
18.000000-18.500000: 0.004507
18.500000-19.000000: 0.004064
19.000000-19.500000: 0.003935
19.500000-20.000000: 0.003670
