running histogram
number of data points: 85220
average: 15.236177
0.000000-0.020000: 0.365962
0.020000-0.040000: 0.005700
0.040000-0.060000: 0.005068
0.060000-0.080000: 0.004737
0.080000-0.100000: 0.004767
0.100000-0.120000: 0.004060
0.120000-0.140000: 0.004436
0.140000-0.160000: 0.003820
0.160000-0.180000: 0.003805
0.180000-0.200000: 0.003715
0.200000-0.220000: 0.003218
0.220000-0.240000: 0.002917
0.240000-0.260000: 0.002933
0.260000-0.280000: 0.003459
0.280000-0.300000: 0.003173
0.300000-0.320000: 0.003068
0.320000-0.340000: 0.002767
0.340000-0.360000: 0.002797
0.360000-0.380000: 0.003158
0.380000-0.400000: 0.002933
0.400000-0.420000: 0.003083
0.420000-0.440000: 0.002842
0.440000-0.460000: 0.002767
0.460000-0.480000: 0.002857
0.480000-0.500000: 0.002587
0.500000-0.520000: 0.002301
0.520000-0.540000: 0.002617
0.540000-0.560000: 0.002451
0.560000-0.580000: 0.002948
0.580000-0.600000: 0.002722
0.600000-0.620000: 0.002496
0.620000-0.640000: 0.002436
0.640000-0.660000: 0.002526
0.660000-0.680000: 0.002948
0.680000-0.700000: 0.002767
0.700000-0.720000: 0.002511
0.720000-0.740000: 0.002331
0.740000-0.760000: 0.002496
0.760000-0.780000: 0.002887
0.780000-0.800000: 0.002632
0.800000-0.820000: 0.002226
0.820000-0.840000: 0.002481
0.840000-0.860000: 0.002662
0.860000-0.880000: 0.002617
0.880000-0.900000: 0.002421
0.900000-0.920000: 0.002151
0.920000-0.940000: 0.002286
0.940000-0.960000: 0.002361
0.960000-0.980000: 0.002767
0.980000-1.000000: 0.002120
1.000000-1.020000: 0.001970
1.020000-1.040000: 0.002421
1.040000-1.060000: 0.002361
1.060000-1.080000: 0.001910
1.080000-1.100000: 0.002376
1.100000-1.120000: 0.002436
1.120000-1.140000: 0.002451
1.140000-1.160000: 0.002181
1.160000-1.180000: 0.002135
1.180000-1.200000: 0.001955
1.200000-1.220000: 0.002241
1.220000-1.240000: 0.002331
1.240000-1.260000: 0.002391
1.260000-1.280000: 0.002271
1.280000-1.300000: 0.001865
1.300000-1.320000: 0.002060
1.320000-1.340000: 0.002256
1.340000-1.360000: 0.002286
1.360000-1.380000: 0.002090
1.380000-1.400000: 0.002075
1.400000-1.420000: 0.002105
1.420000-1.440000: 0.002241
1.440000-1.460000: 0.001985
1.460000-1.480000: 0.001760
1.480000-1.500000: 0.002376
1.500000-1.520000: 0.001820
1.520000-1.540000: 0.002151
1.540000-1.560000: 0.001684
1.560000-1.580000: 0.001880
1.580000-1.600000: 0.001744
1.600000-1.620000: 0.001760
1.620000-1.640000: 0.001714
1.640000-1.660000: 0.001805
1.660000-1.680000: 0.001805
1.680000-1.700000: 0.001639
1.700000-1.720000: 0.001925
1.720000-1.740000: 0.001534
1.740000-1.760000: 0.001805
1.760000-1.780000: 0.001760
1.780000-1.800000: 0.001895
1.800000-1.820000: 0.001504
1.820000-1.840000: 0.001414
1.840000-1.860000: 0.001353
1.860000-1.880000: 0.001609
1.880000-1.900000: 0.001564
1.900000-1.920000: 0.001534
1.920000-1.940000: 0.001549
1.940000-1.960000: 0.001459
1.960000-1.980000: 0.001549
1.980000-2.000000: 0.001444
2.000000-2.020000: 0.001639
2.020000-2.040000: 0.001399
2.040000-2.060000: 0.001684
2.060000-2.080000: 0.001699
2.080000-2.100000: 0.001293
2.100000-2.120000: 0.001744
2.120000-2.140000: 0.001353
2.140000-2.160000: 0.001504
2.160000-2.180000: 0.001534
2.180000-2.200000: 0.001218
2.200000-2.220000: 0.001369
2.220000-2.240000: 0.001068
2.240000-2.260000: 0.001399
2.260000-2.280000: 0.001218
2.280000-2.300000: 0.001459
2.300000-2.320000: 0.001353
2.320000-2.340000: 0.001203
2.340000-2.360000: 0.001308
2.360000-2.380000: 0.001113
2.380000-2.400000: 0.001384
2.400000-2.420000: 0.001143
2.420000-2.440000: 0.001414
2.440000-2.460000: 0.001459
2.460000-2.480000: 0.001399
2.480000-2.500000: 0.001218
2.500000-2.520000: 0.001083
2.520000-2.540000: 0.001263
2.540000-2.560000: 0.000872
2.560000-2.580000: 0.001263
2.580000-2.600000: 0.001338
2.600000-2.620000: 0.001083
2.620000-2.640000: 0.001233
2.640000-2.660000: 0.001429
2.660000-2.680000: 0.001113
2.680000-2.700000: 0.001218
2.700000-2.720000: 0.001143
2.720000-2.740000: 0.001068
2.740000-2.760000: 0.001414
2.760000-2.780000: 0.001158
2.780000-2.800000: 0.000993
2.800000-2.820000: 0.001068
2.820000-2.840000: 0.001023
2.840000-2.860000: 0.000947
2.860000-2.880000: 0.001128
2.880000-2.900000: 0.001218
2.900000-2.920000: 0.000947
2.920000-2.940000: 0.001098
2.940000-2.960000: 0.001023
2.960000-2.980000: 0.000978
2.980000-3.000000: 0.000902
3.000000-3.020000: 0.000857
3.020000-3.040000: 0.001173
3.040000-3.060000: 0.001083
3.060000-3.080000: 0.001023
3.080000-3.100000: 0.000917
3.100000-3.120000: 0.000857
3.120000-3.140000: 0.001038
3.140000-3.160000: 0.000932
3.160000-3.180000: 0.000978
3.180000-3.200000: 0.000932
3.200000-3.220000: 0.000978
3.220000-3.240000: 0.000857
3.240000-3.260000: 0.000872
3.260000-3.280000: 0.000767
3.280000-3.300000: 0.000887
3.300000-3.320000: 0.000737
3.320000-3.340000: 0.001188
3.340000-3.360000: 0.000902
3.360000-3.380000: 0.000887
3.380000-3.400000: 0.000917
3.400000-3.420000: 0.001158
3.420000-3.440000: 0.001128
3.440000-3.460000: 0.001038
3.460000-3.480000: 0.000857
3.480000-3.500000: 0.000812
3.500000-3.520000: 0.001083
3.520000-3.540000: 0.000932
3.540000-3.560000: 0.000872
3.560000-3.580000: 0.000993
3.580000-3.600000: 0.000872
3.600000-3.620000: 0.000842
3.620000-3.640000: 0.000917
3.640000-3.660000: 0.000917
3.660000-3.680000: 0.000782
3.680000-3.700000: 0.000917
3.700000-3.720000: 0.000737
3.720000-3.740000: 0.000707
3.740000-3.760000: 0.000767
3.760000-3.780000: 0.000662
3.780000-3.800000: 0.000662
3.800000-3.820000: 0.000902
3.820000-3.840000: 0.000978
3.840000-3.860000: 0.000842
3.860000-3.880000: 0.000962
3.880000-3.900000: 0.000707
3.900000-3.920000: 0.000767
3.920000-3.940000: 0.000737
3.940000-3.960000: 0.000902
