running histogram
number of data points: 9227332
average: 36.426588
0.000000-0.250000: 0.052016
0.250000-0.500000: 0.006800
0.500000-0.750000: 0.005728
0.750000-1.000000: 0.005109
1.000000-1.250000: 0.004632
1.250000-1.500000: 0.004120
1.500000-1.750000: 0.003768
1.750000-2.000000: 0.003407
2.000000-2.250000: 0.003175
2.250000-2.500000: 0.002961
2.500000-2.750000: 0.002802
2.750000-3.000000: 0.002642
3.000000-3.250000: 0.002531
3.250000-3.500000: 0.002409
3.500000-3.750000: 0.002269
3.750000-4.000000: 0.002224
4.000000-4.250000: 0.002102
4.250000-4.500000: 0.002031
4.500000-4.750000: 0.001983
4.750000-5.000000: 0.001864
